,responseTime_unixtimestamp,Attention,Stress
432,1556688593,-1,-1
433,1556688596,0,3
434,1556688682,1,-1
435,1556689005,2,-2
436,1556689456,1,0
437,1556690670,-1,2
438,1556690714,1,-2
439,1556690793,1,-2
440,1556690868,-1,1
441,1556690999,0,1
442,1556691093,3,2
443,1556691119,-2,2
444,1556691141,-2,2
445,1556691165,3,1
446,1556691257,2,-1
447,1556691298,-3,3
448,1556691305,3,-2
449,1556691513,2,0
450,1556691663,2,-2
451,1556692543,2,1
452,1556692641,-1,1
453,1556692913,1,2
454,1556693392,2,1
455,1556693487,3,-1
456,1556693657,-1,0
457,1556693740,1,-2
458,1556693765,-1,0
459,1556693809,1,2
460,1556693814,0,-2
461,1556693837,1,1
462,1556693993,0,3
463,1556694006,2,-1
464,1556694033,-1,1
465,1556694639,3,-3
466,1556695114,1,1
467,1556695549,-1,1
468,1556695851,-2,2
469,1556696167,0,1
470,1556696244,-1,1
471,1556696336,2,-1
472,1556696356,-2,-2
473,1556696366,2,2
474,1556696388,0,0
475,1556696421,1,2
476,1556696422,0,3
477,1556696477,2,2
478,1556696549,0,0
479,1556696577,-2,3
480,1556696581,-1,3
481,1556696636,2,2
482,1556696709,1,1
483,1556696716,-2,-2
484,1556697110,2,-1
485,1556698351,1,-1
486,1556698693,1,-1
487,1556698759,-2,2
488,1556698862,2,-2
489,1556698935,2,-2
490,1556698939,3,3
491,1556698942,1,-1
492,1556699097,0,-2
493,1556699101,1,-1
494,1556699151,2,-2
495,1556699257,0,-1
496,1556699325,1,2
497,1556699368,-2,3
498,1556699385,2,2
499,1556699941,0,-2
500,1556699981,2,-1
501,1556700094,-1,1
502,1556700541,0,2
503,1556700833,-1,-1
504,1556701131,1,-2
505,1556701541,2,-2
506,1556701634,0,0
507,1556701680,3,-1
508,1556701716,2,0
509,1556701739,1,0
510,1556701741,3,-1
511,1556701839,1,2
512,1556701875,2,-3
513,1556701915,3,-3
514,1556701944,0,-3
515,1556702059,1,-2
516,1556702065,2,1
517,1556702077,0,-1
518,1556702109,2,-2
519,1556702315,1,-1
520,1556702596,1,1
521,1556702921,0,0
522,1556703872,3,-2
523,1556703903,2,-2
524,1556704199,2,-3
525,1556704349,-3,-3
526,1556704398,1,-1
527,1556704465,1,-1
528,1556704527,2,1
529,1556704583,0,-2
530,1556704610,1,-3
531,1556704622,2,-2
532,1556704692,-1,1
533,1556704736,-3,-3
534,1556704751,3,-3
535,1556704786,0,0
536,1556704808,1,0
537,1556704882,1,-1
538,1556704958,-2,1
539,1556706074,-1,0
540,1556706162,3,1
541,1556706520,1,1
542,1556706990,1,2
543,1556706996,-1,0
544,1556707106,1,-2
545,1556707294,1,-1
546,1556707329,-2,2
547,1556707352,0,-2
548,1556707417,2,-3
549,1556707473,2,-2
550,1556707508,2,-1
551,1556707561,2,-1
552,1556707690,2,0
553,1556708844,2,1
554,1556709485,-1,3
555,1556709615,0,1
556,1556709641,2,-2
557,1556709864,-2,0
558,1556710136,1,-2
559,1556710200,2,-1
560,1556710292,1,2
561,1556710378,0,0
562,1556710439,0,-1
563,1556711298,-3,-3
564,1556711667,-1,3
565,1556712042,-2,1
566,1556712135,0,0
567,1556712141,0,-2
568,1556712204,3,-2
569,1556712227,2,2
570,1556712326,-1,0
571,1556712378,1,0
572,1556712472,0,-1
573,1556712491,2,-2
574,1556712498,-3,2
575,1556712624,-3,1
576,1556712731,2,-2
577,1556712853,1,-2
578,1556712891,0,-1
579,1556712896,2,-1
580,1556712955,-1,1
581,1556712986,1,1
582,1556713042,2,-2
583,1556713951,2,-2
584,1556714014,0,1
585,1556714573,2,0
586,1556714891,0,0
587,1556715006,3,1
588,1556715011,2,-2
589,1556715043,-3,3
590,1556715100,0,0
591,1556715148,1,1
592,1556715313,1,-1
593,1556715403,3,3
594,1556715415,3,-1
595,1556715419,0,0
596,1556715541,0,-1
597,1556715552,-3,3
598,1556715591,1,0
599,1556715750,0,0
600,1556715796,1,-2
601,1556718079,0,-2
602,1556719693,-3,-2
603,1556721926,3,-2
604,1556724035,2,0
605,1556724409,-3,-2
606,1556724410,-3,-2
607,1556726054,3,-2
608,1556729258,1,0
609,1556751469,1,-2
610,1556755170,1,-2
611,1556758385,3,2
612,1556758938,-1,-1
613,1556759285,2,2
614,1556759324,0,-2
615,1556759414,-1,2
